"Affect1","Affect2","Affect3","approach","valence_raw","valence_category","spotify_seed","spotify_prompt","weather","feeling"
"Anger","Curiosity","Disgust","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with steady interest and toned by an inner no. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the interest, and use the the inner no to sort what belongs close and what needs more distance.","-0.4","Gently Negative","seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel curious, exploratory energy, and coloring harsh, rejecting tone. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76. Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with light curious drift, producing variable patterns. A a sharp edge in the higher air is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while using light flexibility, and keep standards selective"
"Anger","Curiosity","Dropping","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with steady interest and toned by a small collapse inside. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the interest, and let the the collapse remind you to move gently and offer yourself a bit more support around {subject}.","-0.4","Gently Negative","seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel curious, exploratory energy, and coloring fragile, sinking tone. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76. Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with light curious drift, producing variable patterns. A a low dim undertone in the field is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while using light flexibility, and delay irreversible decisions"
"Anger","Curiosity","Fear","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with steady interest and toned by tight caution. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the interest, and honor the caution by moving in small steps and checking what feels safe as you go.","-0.4","Gently Negative","seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel curious, exploratory energy, and coloring tense, cautious mood. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76. Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with restless tilting currents, producing variable patterns. A a cooling shadow line overhead is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while using light flexibility, and avoid unnecessary risks"
"Anger","Curiosity","Joy","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with steady interest and toned by warm lift. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the interest, and let the warmth soften the edges so you can stay present without forcing anything.","0.0","Mixed / Neutral","seed_genres=metal,hardcore&target_valence=0.50&target_energy=0.80","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel curious, exploratory energy, and coloring warm, uplifting tone. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.50&target_energy=0.80. Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with restless tilting currents, producing variable patterns. A a soft warming undercurrent is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while using light flexibility, and allow things to warm gradually"
"Anger","Curiosity","Withdrawing","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with steady interest and toned by a need for space. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the interest, and honor the the need for space by giving yourself room to breathe before deciding what you want to do.","-0.24","Gently Negative","seed_genres=metal,hardcore&target_valence=0.38&target_energy=0.78","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel curious, exploratory energy, and coloring distant, spacious feeling. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.38&target_energy=0.78. Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with patchy exploratory flow, producing variable patterns. A an open still band on the horizon is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while using light flexibility, and maintain extra space"
"Anger","Curiosity","Sadness","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with steady interest and toned by soft heaviness. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the interest, and treat the heaviness as a signal to slow down and stay close to what really matters here.","-0.4","Gently Negative","seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel curious, exploratory energy, and coloring slow, melancholic mood. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76. Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with light curious drift, producing variable patterns. A a soft descending mist layer is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while using light flexibility, and keep demands low"
"Anger","Curiosity","Surprise","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with steady interest and toned by a sharp jolt. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the interest, and use the the jolt as a brief pause to reset, then decide what pace actually feels right.","-0.2","Gently Negative","seed_genres=metal,hardcore&target_valence=0.40&target_energy=0.78","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel curious, exploratory energy, and coloring sudden, shifting feel. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.40&target_energy=0.78. Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with patchy exploratory flow, producing variable patterns. A a patchy scattering pattern aloft is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while using light flexibility, and stay ready for shifts"
"Anger","Disgust","Curiosity","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with an inner no and toned by steady interest. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the inner no, and let the interest gently invite you to stay curious without rushing your next move.","-0.6000000000000000","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel harsh, rejecting tone, and coloring curious, exploratory energy. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74. Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with harsh particulate air, producing variable patterns. A thin curiosity haze is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while removing unfit options, and allow room for new information"
"Anger","Disgust","Dropping","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with an inner no and toned by a small collapse inside. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the inner no, and let the the collapse remind you to move gently and offer yourself a bit more support around {subject}.","-1.0","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel harsh, rejecting tone, and coloring fragile, sinking tone. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70. Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with a coarse turning gust, producing variable patterns. A a settling hush near the ground is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while removing unfit options, and delay irreversible decisions"
"Anger","Disgust","Fear","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with an inner no and toned by tight caution. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the inner no, and honor the caution by moving in small steps and checking what feels safe as you go.","-1.0","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel harsh, rejecting tone, and coloring tense, cautious mood. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70. Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with a coarse turning gust, producing variable patterns. A a narrow watchful band at higher levels is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while removing unfit options, and avoid unnecessary risks"
