Archetype,Description,Shadow Side,Growth Path,Citations
The Resonant Sage,"You feel everything deeply yet stay grounded and calm. Others trust your emotional steadiness.

Your wisdom comes from matching your inner and outer worlds with clarity and authenticity.","Can become overly responsible for others’ emotions, suppressing their own needs to maintain calm.",Practice sharing your own emotional needs rather than only supporting others.,"Tomkins, S. (1962). Affect Imagery Consciousness.; Ekman, P. (1992). An argument for basic emotions.; Izard, C. (1977). Human Emotions.; Nathanson, D. (1992). Shame and Pride."
The Soft Anchor,"You are gentle, warm, and grounding. People feel safe and comfortable around you.

Your quiet steadiness helps others settle into themselves and feel emotionally supported.",May absorb others’ feelings so deeply that they lose track of their own boundaries and desires.,Strengthen boundaries by naming what you need before offering comfort.,"Tomkins, S. (1962). Affect Imagery Consciousness.; Ekman, P. (1992). An argument for basic emotions.; Izard, C. (1977). Human Emotions.; Nathanson, D. (1992). Shame and Pride."
The Stormbound,"You hold deep emotional intensity beneath the surface, like a quiet storm.

Your challenge is allowing others to witness your depth without retreating.",Intensity can become overwhelm; withdrawing into emotional storms creates isolation.,Let trusted people witness small pieces of your emotional intensity.,"Tomkins, S. (1962). Affect Imagery Consciousness.; Ekman, P. (1992). An argument for basic emotions.; Izard, C. (1977). Human Emotions.; Nathanson, D. (1992). Shame and Pride."
The Truth Teller,"You value honesty and emotional clarity above all else.

Your insight cuts through confusion and encourages real connection.","Directness can slip into bluntness, creating conflict or emotional distance.",Balance honesty with empathy—soften delivery without diluting truth.,"Tomkins, S. (1962). Affect Imagery Consciousness.; Ekman, P. (1992). An argument for basic emotions.; Izard, C. (1977). Human Emotions.; Nathanson, D. (1992). Shame and Pride."
The Open Flame,"Your emotions are vivid and expressive, lighting up every room you enter.

You create instant connection through openness and authenticity.","Emotional impulsivity can burn relationships, leading to misunderstandings or hurt feelings.",Pause before reacting; channel emotional energy into expression with intention.,"Tomkins, S. (1962). Affect Imagery Consciousness.; Ekman, P. (1992). An argument for basic emotions.; Izard, C. (1977). Human Emotions.; Nathanson, D. (1992). Shame and Pride."
The Magnetic Poet,"You live in emotional richness and speak in metaphor and meaning.

People are drawn to your depth, sensitivity, and emotional insight.","May romanticize pain or over-idealize relationships, making connection feel dramatic or heavy.",Ground your deep feelings in daily reality and lighten emotional narratives.,"Tomkins, S. (1962). Affect Imagery Consciousness.; Ekman, P. (1992). An argument for basic emotions.; Izard, C. (1977). Human Emotions.; Nathanson, D. (1992). Shame and Pride."
The Mirror Mask,"You read emotional environments instantly and adapt to them.

Your social intuition is strong, though your true self deserves more space.","Adapting too much can erase personal identity, leaving them unsure who they really are.",Reveal small authentic truths even when unsure how they will land.,"Tomkins, S. (1962). Affect Imagery Consciousness.; Ekman, P. (1992). An argument for basic emotions.; Izard, C. (1977). Human Emotions.; Nathanson, D. (1992). Shame and Pride."
The Boundary Breaker,"You connect quickly and deeply, with fearless emotional openness.

You invite intensity and authenticity into relationships.",Oversharing too fast can push people away or create unstable intimacy.,Learn to pace vulnerability and read cues before diving deep.,"Tomkins, S. (1962). Affect Imagery Consciousness.; Ekman, P. (1992). An argument for basic emotions.; Izard, C. (1977). Human Emotions.; Nathanson, D. (1992). Shame and Pride."
The Iron Mask,"You keep your emotional world closely guarded, valuing privacy and control.

Underneath your calm exterior lies grounded depth.","Emotional walls can become impenetrable, blocking closeness and support.",Experiment with sharing mild emotions to build trust gradually.,"Tomkins, S. (1962). Affect Imagery Consciousness.; Ekman, P. (1992). An argument for basic emotions.; Izard, C. (1977). Human Emotions.; Nathanson, D. (1992). Shame and Pride."
The Strategist,"You move through emotions with logic and careful thought.

Your steadiness helps you navigate complex emotional situations.","Overthinking replaces vulnerability, making relationships feel controlled or distant.",Replace analysis with presence—try feeling before interpreting.,"Tomkins, S. (1962). Affect Imagery Consciousness.; Ekman, P. (1992). An argument for basic emotions.; Izard, C. (1977). Human Emotions.; Nathanson, D. (1992). Shame and Pride."
